Rank Name Platform Year Genre Publisher NA_Sales EU_Sales JP_Sales Global_Sales
1 WiiSports Wii 2006 Sports Nintendo 41.49 29.02 3.77 82.74
2 SuperMarioBros. NES 1985 Platform Nintendo 29.08 3.58 6.81 40.24
3 MarioKartWii Wii 2008 Racing Nintendo 15.85 12.88 3.79 35.82
4 WiiSportsResort Wii 2009 Sports Nintendo 15.75 11.01 3.28 33
5 PokemonRed/PokemonBlue GB 1996 Role-Playing Nintendo 11.27 8.89 10.22 31.37
6 Tetris GB 1989 Puzzle Nintendo 23.2 2.26 4.22 30.26
7 NewSuperMarioBros. DS 2006 Platform Nintendo 11.38 9.23 6.5 30.01
8 WiiPlay Wii 2006 Misc Nintendo 14.03 9.2 2.93 29.02
9 NewSuperMarioBros.Wii Wii 2009 Platform Nintendo 14.59 7.06 4.7 28.62
10 DuckHunt NES 1984 Shooter Nintendo 26.93 0.63 0.28 28.31
11 Nintendogs DS 2005 Simulation Nintendo 9.07 11 1.93 24.76
3172 Wolfenstein PS3 2009 Shooter Activision 0.25 0.28 0 0.64
3173 JampackVolume13(RP-T) PS2 2005 Misc SonyComputerEntertainment 0.31 0.24 0 0.64
3174 LEGODimensions PS4 2015 Action WarnerBros.InteractiveEntertainment 0.22 0.32 0 0.64
3175 StarttheParty! PS3 2010 Misc SonyComputerEntertainment 0.07 0.42 0 0.64
3176 Cruis'nWorld N64 1998 Racing Nintendo 0.59 0.04 0 0.64
3177 MaddenNFL2001 N64 2000 Sports ElectronicArts 0.6 0.03 0 0.64
3178 NBALive08 PS3 2007 Sports ElectronicArts 0.56 0.02 0.01 0.64
3179 TheWalkingDead:SurvivalInstinct X360 2013 Shooter Activision 0.46 0.12 0 0.64
3180 DonkeyKongBarrelBlast Wii 2007 Racing Nintendo 0.2 0.26 0.11 0.64
3181 Okami Wii 2008 Action Capcom 0.45 0.1 0.04 0.64
3182 LemonySnicket'sASeriesofUnfortunateEvents PS2 2004 Platform Activision 0.31 0.24 0 0.64
3183 Middle-Earth:ShadowofMordor PS3 2014 Action WarnerBros.InteractiveEntertainment 0.2 0.33 0.01 0.64
3184 FamilyFeud:2010Edition Wii 2009 Misc Ubisoft 0.59 0 0 0.64
3185 RedSteel2 Wii 2010 Shooter Ubisoft 0.36 0.21 0.01 0.63
3186 X-MenLegendsII:RiseofApocalypse PS2 2005 Role-Playing Activision 0.53 0.02 0 0.63
3187 NightmareCreatures PS 1997 Action SonyComputerEntertainment 0.35 0.24 0 0.63
3188 SingStarQueen PS2 2009 Misc SonyComputerEntertainment 0.08 0.12 0 0.63
3189 JustDance2015 X360 2014 Misc Ubisoft 0.41 0.16 0 0.63
3190 F12013 PS3 2013 Racing Codemasters 0.01 0.45 0.03 0.63
3191 Juiced2:HotImportNights X360 2007 Racing THQ 0.22 0.34 0 0.63
3192 TonyHawk'sProSkater2x XB 2001 Sports Activision 0.41 0.19 0 0.63
3193 SimThemePark PS 1999 Strategy ElectronicArts 0.35 0.24 0 0.63
3194 FIFASoccer2003 XB 2002 Sports ElectronicArts 0.2 0.4 0 0.63
3195 Ghostbusters:TheVideoGame X360 2009 Action Atari 0.43 0.14 0 0.63
3196 MonsterHunter2 PS2 2009 Role-Playing Capcom 0 0 0.63 0.63
3197 NASCAR06:TotalTeamControl PS2 2005 Racing ElectronicArts 0.53 0.02 0 0.63
3198 TonyHawk'sProject8 PS3 2006 Sports Activision 0.3 0.23 0.01 0.63
3199 Dogz GBA 2004 Simulation Ubisoft 0.45 0.17 0 0.63
3200 DisneyUniverse PS3 2011 Action DisneyInteractiveStudios 0.3 0.23 0 0.63
3201 GuitarHero:Metallica PS3 2009 Misc Activision 0.28 0.24 0 0.63
3202 IronMan PSP 2008 Action Sega 0.46 0.09 0 0.63
3203 TaikonoTatsujin:ChibiDragontoFushiginaOrb 3DS 2012 Misc NamcoBandaiGames 0 0 0.63 0.63
3204 HarryPotterandtheHalf-BloodPrince DS 2009 Action ElectronicArts 0.21 0.35 0 0.63
3205 ABug'sLife N64 1998 Platform Activision 0.49 0.13 0 0.63
3206 SuperCastlevaniaIV SNES 1991 Platform KonamiDigitalEntertainment 0.32 0.05 0.25 0.63
3207 DJHero2 Wii 2010 Misc Activision 0.49 0.09 0 0.63
3208 AngryBirdsTrilogy 3DS 2012 Action Activision 0.38 0.2 0 0.63
3209 Condemned2:Bloodshot X360 2008 Action Sega 0.38 0.19 0 0.63
