Rank Title Genre Director Year Runtime(Minutes) Rating Votes Revenue(Millions) Metascore,,
1 GuardiansoftheGalaxy Action,Adventure,Sci-Fi JamesGunn 2014 121 8.1 757074 333.13 76
2 Prometheus Adventure,Mystery,Sci-Fi RidleyScott 2012 124 7 485820 126.46 65
3 Split Horror,Thriller M.NightShyamalan 2016 117 7.3 157606 138.12 62,
4 Sing Animation,Comedy,Family ChristopheLourdelet 2016 108 7.2 60545 270.32 59
5 SuicideSquad Action,Adventure,Fantasy DavidAyer 2016 123 6.2 393727 325.02 40
6 TheGreatWall Action,Adventure,Fantasy YimouZhang 2016 103 6.1 56036 45.13 42
7 LaLaLand Comedy,Drama,Music DamienChazelle 2016 128 8.3 258682 151.06 93
8 Mindhorn Comedy SeanFoley 2016 89 6.4 2490 0 71,,
9 TheLostCityofZ Action,Adventure,Biography JamesGray 2016 141 7.1 7188 8.01 78
10 Passengers Adventure,Drama,Romance MortenTyldum 2016 116 7 192177 100.01 41
11 FantasticBeastsandWheretoFindThem Adventure,Family,Fantasy DavidYates 2016 133 7.5 232072 234.02 66
12 HiddenFigures Biography,Drama,History TheodoreMelfi 2016 127 7.8 93103 169.27 74
13 RogueOne Action,Adventure,Sci-Fi GarethEdwards 2016 133 7.9 323118 532.17 65
14 Moana Animation,Adventure,Comedy RonClements 2016 107 7.7 118151 248.75 81
15 Colossal Action,Comedy,Drama NachoVigalondo 2016 109 6.4 8612 2.87 70
16 TheSecretLifeofPets Animation,Adventure,Comedy ChrisRenaud 2016 87 6.6 120259 368.31 61
17 HacksawRidge Biography,Drama,History MelGibson 2016 139 8.2 211760 67.12 71
18 JasonBourne Action,Thriller PaulGreengrass 2016 123 6.7 150823 162.16 58,
19 Lion Biography,Drama GarthDavis 2016 118 8.1 102061 51.69 69,
20 Arrival Drama,Mystery,Sci-Fi DenisVilleneuve 2016 116 8 340798 100.5 81
21 Gold Adventure,Drama,Thriller StephenGaghan 2016 120 6.7 19053 7.22 49
22 ManchesterbytheSea Drama KennethLonergan 2016 137 7.9 134213 47.7 96,,
23 HoundsofLove Crime,Drama,Horror BenYoung 2016 108 6.7 1115 0 72
24 Trolls Animation,Adventure,Comedy WaltDohrn 2016 92 6.5 38552 153.69 56
25 IndependenceDay:Resurgence Action,Adventure,Sci-Fi RolandEmmerich 2016 120 5.3 127553 103.14 32
26 Parispiedsnus Comedy DominiqueAbel 2016 83 6.8 222 0 0,,
27 Bahubali:TheBeginning Action,Adventure,Drama S.S.Rajamouli 2015 159 8.3 76193 6.5 0
28 DeadAwake Horror,Thriller PhillipGuzman 2016 99 4.7 523 0.01 0,
29 BadMoms Comedy JonLucas 2016 100 6.2 66540 113.08 60,,
30 Assassin'sCreed Action,Adventure,Drama JustinKurzel 2016 115 5.9 112813 54.65 36
31 WhyHim, Comedy JohnHamburg 2016 111 6.3 48123 60.31 39,
32 NocturnalAnimals Drama,Thriller TomFord 2016 116 7.5 126030 10.64 67,
33 X-Men:Apocalypse Action,Adventure,Sci-Fi BryanSinger 2016 144 7.1 275510 155.33 52
34 Deadpool Action,Adventure,Comedy TimMiller 2016 108 8 627797 363.02 65
35 ResidentEvil:TheFinalChapter Action,Horror,Sci-Fi PaulW.S.Anderson 2016 107 5.6 46165 26.84 49
36 CaptainAmerica:CivilWar Action,Adventure,Sci-Fi AnthonyRusso 2016 147 7.9 411656 408.08 75
37 Interstellar Adventure,Drama,Sci-Fi ChristopherNolan 2014 169 8.6 1047747 187.99 74
38 DoctorStrange Action,Adventure,Fantasy ScottDerrickson 2016 115 7.6 293732 232.6 72
39 TheMagnificentSeven Action,Adventure,Western AntoineFuqua 2016 132 6.9 122853 93.38 54
40 5-25-77 Comedy,Drama PatrickReadJohnson 2007 113 7.1 241 0 0,
41 SausageParty Animation,Adventure,Comedy GregTiernan 2016 89 6.3 120690 97.66 66
42 Moonlight Drama BarryJenkins 2016 111 7.5 135095 27.85 99,,
43 Don'tFuckintheWoods Horror ShawnBurkett 2016 73 2.7 496 0 0,,
44 TheFounder Biography,Drama,History JohnLeeHancock 2016 115 7.2 37033 12.79 66
45 Lowriders Drama RicardodeMontreuil 2016 99 6.3 279 4.21 57,,
46 PiratesoftheCaribbean:OnStrangerTides Action,Adventure,Fantasy RobMarshall 2011 136 6.7 395025 241.06 45
47 MissSloane Drama,Thriller JohnMadden 2016 132 7.3 17818 3.44 64,
48 Fallen Adventure,Drama,Fantasy ScottHicks 2016 91 5.6 5103 0 0
49 StarTrekBeyond Action,Adventure,Sci-Fi JustinLin 2016 122 7.1 164567 158.8 68
50 TheLastFace Drama SeanPenn 2016 130 3.7 987 0 16,,
51 StarWars:EpisodeVII-TheForceAwakens Action,Adventure,Fantasy J.J.Abrams 2015 136 8.1 661608 936.63 81
52 Underworld:BloodWars Action,Adventure,Fantasy AnnaFoerster 2016 91 5.8 41362 30.35 23
53 Mother'sDay Comedy,Drama GarryMarshall 2016 118 5.6 20221 32.46 18,
54 JohnWick Action,Crime,Thriller ChadStahelski 2014 101 7.2 321933 43 68
55 TheDarkKnight Action,Crime,Drama ChristopherNolan 2008 152 9 1791916 533.32 82
56 Silence Adventure,Drama,History MartinScorsese 2016 161 7.3 49190 7.08 79
57 Don'tBreathe Crime,Horror,Thriller FedeAlvarez 2016 88 7.2 121103 89.21 71
58 MeBeforeYou Drama,Romance TheaSharrock 2016 106 7.4 113322 56.23 51,
59 TheirFinest Comedy,Drama,Romance LoneScherfig 2016 117 7 3739 3.18 76
60 Sully Biography,Drama ClintEastwood 2016 96 7.5 137608 125.07 74,
